pulse,scheduled_at_eest,owner,lane,channel,mode,action,asset,tracked_link,primary_copy,proof_hint
11,2026-06-06 11:15 +0300,Memo,Ops,Copy rotation,internal,Prepare one fresh short hook and one reply answer for the next worker.,copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=copy-rotation&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse11,"Ops pulse: rotate copy without fixed prize claims.

Keep the free-picks hook visible: users save 3 picks first, watch a private points preview, and use a ticket only for paid leaderboard entry.

Use code 26BC4B90CB and link https://worldcup26.world/login?ref=26BC4B90CB&utm_source=copy-rotation&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse11.",internal-log-note
12,2026-06-06 11:30 +0300,Nano,Objections,Replies,manual replies,Answer one pending question and return to the code/link CTA.,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse12,"Quick version: you pick 3 World Cup teams for free first. They score from real results and you can see your private preview.

Use a ticket only if you want to enter the paid leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse12",reply-url-or-private-note
13,2026-06-06 11:45 +0300,Dexter,Partner DM,Creator outreach,manual outreach,Send one approved partner DM to a football micro-creator.,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=creator-outreach&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse13,"Hey - I am promoting WorldCup26, a World Cup prediction game where users pick 3 teams free first, see a private points preview, and can use a ticket later for the paid leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=creator-outreach&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse13

Would one story or post fit your football audience?",private-dm-note
14,2026-06-06 12:00 +0300,Sienna,Friendly caption,Community caption,manual post,Post a friendly invite where promo links are welcome.,media/worldcup26-referral-square.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=community-caption&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse14,"I want a small football group inside WorldCup26.

Pick your 3 teams free first and compare what your points would be.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=community-caption&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse14",public-post-url-or-private-note
15,2026-06-06 12:15 +0300,Memo,Ops,Next best channel,internal,Choose the next unblocked public or private channel and keep the board moving.,runtime/dispatch-board.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=next-best-channel&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse15,"Ops pulse: if a channel is logged out, pick the next owned channel. Do not log proof until real posting happens.",internal-log-note
16,2026-06-06 12:30 +0300,Nano,Follow-up,DM follow-up,manual outreach,Follow up once with someone who reacted but did not join.,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=dm-follow-up&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse16,"Still want the WorldCup26 invite?

You can save your 3 picks free first and decide about the paid leaderboard later.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=dm-follow-up&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse16",private-dm-note
17,2026-06-06 12:45 +0300,Dexter,Short feed,X / public fallback,manual post,Publish or prepare a short public CTA if X is logged in.,media/worldcup26-referral-16x9.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse17,"If you already have strong World Cup takes, make your 3 picks.

WorldCup26 now lets you save the picks first and decide later if you want the paid leaderboard:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse17

Code: 26BC4B90CB",public-post-url
18,2026-06-06 13:00 +0300,Sienna,Status/story,WhatsApp Status,manual post,Post the video/status copy if WhatsApp is available.,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse18,"I invited you to WorldCup26.

Pick 3 teams for free first. You can see what your points would be, then use a ticket only if you want to enter the paid leaderboard.

Use my referral code 26BC4B90CB when you join:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse18

All teams are still available right now.",private-whatsapp-status-note
19,2026-06-06 13:15 +0300,Memo,Ops,Proof audit,internal,"Check proof log, list unproven current rows, and flag blocked channels.",runtime/posting-log-live.csv,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=proof-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse19,"Ops pulse: verify proof rows, urgent rows, and blocked channels.

Referral: https://worldcup26.world/login?ref=26BC4B90CB&utm_source=proof-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse19
Code: 26BC4B90CB",internal-log-note
20,2026-06-06 13:30 +0300,Nano,Warm contacts,WhatsApp personal,manual outreach,Send one warm-contact batch if WhatsApp is available.,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse20,"I am inviting friends to WorldCup26.

You can pick 3 teams for free and see your private points preview during the tournament.
Use a ticket only if you want to enter the paid leaderboard.
Use my code when you join: 26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse20",private-whatsapp-note
21,2026-06-06 13:45 +0300,Dexter,Permission first,Football groups,approval first,Ask one football group admin for approval; post only if welcome.,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse21,"For football fans here:

WorldCup26 lets you pick 3 teams free first and see what your points would do.

If you want the real paid leaderboard, use a ticket after.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse21",admin-approved-url-or-note
22,2026-06-06 14:00 +0300,Sienna,Story,Instagram/Facebook Story,manual post,Post story image with code and link sticker if logged in.,media/worldcup26-referral-story.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse22,"Pick 3 teams before they lock.

Free preview first. Paid leaderboard only when you use a ticket.

Join with code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse22",story-url-or-account-note
23,2026-06-06 14:15 +0300,Memo,Ops,Asset audit,internal,Confirm video and image assets are present on this worker.,promo-kit-manifest.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=asset-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse23,"Ops pulse: verify MP4, story image, square image, and command center are present.",internal-log-note
24,2026-06-06 14:30 +0300,Nano,Warm contacts,Telegram personal,manual outreach,Send the invite to one approved Telegram contact or group where welcome.,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=telegram-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse24,"WorldCup26 = pick 3 teams free first, score through real matches, and see what your points would be.

Paid leaderboard entry happens only when you use a ticket.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=telegram-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse24",private-telegram-note
25,2026-06-06 14:45 +0300,Dexter,Friends feed,Facebook/feed fallback,manual post,Post a friendly feed variant if Facebook is logged in.,media/worldcup26-referral-square.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-feed-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse25,"WorldCup26 is live for signups.

Pick 3 teams before they lock. You can save the picks for free and watch your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-feed-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse25",public-post-url
26,2026-06-06 15:00 +0300,Sienna,Video,Shorts/Reels/TikTok,manual post,Upload the main video with code in the first line.,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=shorts-reels-tiktok&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse26,"Pick 3 teams before they lock. Free preview first, paid leaderboard after ticket.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=shorts-reels-tiktok&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse26",video-url
27,2026-06-06 15:15 +0300,Memo,Ops,Copy rotation,internal,Prepare one fresh short hook and one reply answer for the next worker.,copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=copy-rotation&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse27,"Ops pulse: rotate copy without fixed prize claims.

Keep the free-picks hook visible: users save 3 picks first, watch a private points preview, and use a ticket only for paid leaderboard entry.

Use code 26BC4B90CB and link https://worldcup26.world/login?ref=26BC4B90CB&utm_source=copy-rotation&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse27.",internal-log-note
28,2026-06-06 15:30 +0300,Nano,Objections,Replies,manual replies,Answer one pending question and return to the code/link CTA.,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse28,"Quick version: you pick 3 World Cup teams for free first. They score from real results and you can see your private preview.

Use a ticket only if you want to enter the paid leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse28",reply-url-or-private-note
29,2026-06-06 15:45 +0300,Dexter,Partner DM,Creator outreach,manual outreach,Send one approved partner DM to a football micro-creator.,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=creator-outreach&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse29,"Hey - I am promoting WorldCup26, a World Cup prediction game where users pick 3 teams free first, see a private points preview, and can use a ticket later for the paid leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=creator-outreach&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse29

Would one story or post fit your football audience?",private-dm-note
30,2026-06-06 16:00 +0300,Sienna,Friendly caption,Community caption,manual post,Post a friendly invite where promo links are welcome.,media/worldcup26-referral-square.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=community-caption&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse30,"I want a small football group inside WorldCup26.

Pick your 3 teams free first and compare what your points would be.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=community-caption&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse30",public-post-url-or-private-note
31,2026-06-06 16:15 +0300,Memo,Ops,Next best channel,internal,Choose the next unblocked public or private channel and keep the board moving.,runtime/dispatch-board.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=next-best-channel&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse31,"Ops pulse: if a channel is logged out, pick the next owned channel. Do not log proof until real posting happens.",internal-log-note
32,2026-06-06 16:30 +0300,Nano,Follow-up,DM follow-up,manual outreach,Follow up once with someone who reacted but did not join.,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=dm-follow-up&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse32,"Still want the WorldCup26 invite?

You can save your 3 picks free first and decide about the paid leaderboard later.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=dm-follow-up&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse32",private-dm-note
33,2026-06-06 16:45 +0300,Dexter,Short feed,X / public fallback,manual post,Publish or prepare a short public CTA if X is logged in.,media/worldcup26-referral-16x9.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse33,"Favorites or underdogs?

Pick 3 teams free first. Watch what your score would be.

Join with code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse33",public-post-url
34,2026-06-06 17:00 +0300,Sienna,Status/story,WhatsApp Status,manual post,Post the video/status copy if WhatsApp is available.,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse34,"I invited you to WorldCup26.

Pick 3 teams for free first. You can see what your points would be, then use a ticket only if you want to enter the paid leaderboard.

Use my referral code 26BC4B90CB when you join:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse34

All teams are still available right now.",private-whatsapp-status-note
35,2026-06-06 17:15 +0300,Memo,Ops,Proof audit,internal,"Check proof log, list unproven current rows, and flag blocked channels.",runtime/posting-log-live.csv,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=proof-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse35,"Ops pulse: verify proof rows, urgent rows, and blocked channels.

Referral: https://worldcup26.world/login?ref=26BC4B90CB&utm_source=proof-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse35
Code: 26BC4B90CB",internal-log-note
36,2026-06-06 17:30 +0300,Nano,Warm contacts,WhatsApp personal,manual outreach,Send one warm-contact batch if WhatsApp is available.,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse36,"I am inviting friends to WorldCup26.

You can pick 3 teams for free and see your private points preview during the tournament.
Use a ticket only if you want to enter the paid leaderboard.
Use my code when you join: 26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse36",private-whatsapp-note
37,2026-06-06 17:45 +0300,Dexter,Permission first,Football groups,approval first,Ask one football group admin for approval; post only if welcome.,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse37,"For football fans here:

WorldCup26 lets you pick 3 teams free first and see what your points would do.

If you want the real paid leaderboard, use a ticket after.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse37",admin-approved-url-or-note
38,2026-06-06 18:00 +0300,Sienna,Story,Instagram/Facebook Story,manual post,Post story image with code and link sticker if logged in.,media/worldcup26-referral-story.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse38,"Pick 3 teams before they lock.

Free preview first. Paid leaderboard only when you use a ticket.

Join with code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse38",story-url-or-account-note
39,2026-06-06 18:15 +0300,Memo,Ops,Asset audit,internal,Confirm video and image assets are present on this worker.,promo-kit-manifest.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=asset-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse39,"Ops pulse: verify MP4, story image, square image, and command center are present.",internal-log-note
40,2026-06-06 18:30 +0300,Nano,Warm contacts,Telegram personal,manual outreach,Send the invite to one approved Telegram contact or group where welcome.,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=telegram-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse40,"WorldCup26 = pick 3 teams free first, score through real matches, and see what your points would be.

Paid leaderboard entry happens only when you use a ticket.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=telegram-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse40",private-telegram-note
41,2026-06-06 18:45 +0300,Dexter,Friends feed,Facebook/feed fallback,manual post,Post a friendly feed variant if Facebook is logged in.,media/worldcup26-referral-square.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-feed-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse41,"WorldCup26 is live for signups.

Pick 3 teams before they lock. You can save the picks for free and watch your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-feed-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse41",public-post-url
42,2026-06-06 19:00 +0300,Sienna,Video,Shorts/Reels/TikTok,manual post,Upload the main video with code in the first line.,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=shorts-reels-tiktok&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse42,"Pick 3 teams before they lock. Free preview first, paid leaderboard after ticket.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=shorts-reels-tiktok&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse42",video-url
43,2026-06-06 19:15 +0300,Memo,Ops,Copy rotation,internal,Prepare one fresh short hook and one reply answer for the next worker.,copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=copy-rotation&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse43,"Ops pulse: rotate copy without fixed prize claims.

Keep the free-picks hook visible: users save 3 picks first, watch a private points preview, and use a ticket only for paid leaderboard entry.

Use code 26BC4B90CB and link https://worldcup26.world/login?ref=26BC4B90CB&utm_source=copy-rotation&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse43.",internal-log-note
44,2026-06-06 19:30 +0300,Nano,Objections,Replies,manual replies,Answer one pending question and return to the code/link CTA.,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse44,"Quick version: you pick 3 World Cup teams for free first. They score from real results and you can see your private preview.

Use a ticket only if you want to enter the paid leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse44",reply-url-or-private-note
45,2026-06-06 19:45 +0300,Dexter,Partner DM,Creator outreach,manual outreach,Send one approved partner DM to a football micro-creator.,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=creator-outreach&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse45,"Hey - I am promoting WorldCup26, a World Cup prediction game where users pick 3 teams free first, see a private points preview, and can use a ticket later for the paid leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=creator-outreach&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse45

Would one story or post fit your football audience?",private-dm-note
46,2026-06-06 20:00 +0300,Sienna,Friendly caption,Community caption,manual post,Post a friendly invite where promo links are welcome.,media/worldcup26-referral-square.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=community-caption&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse46,"I want a small football group inside WorldCup26.

Pick your 3 teams free first and compare what your points would be.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=community-caption&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse46",public-post-url-or-private-note
47,2026-06-06 20:15 +0300,Memo,Ops,Next best channel,internal,Choose the next unblocked public or private channel and keep the board moving.,runtime/dispatch-board.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=next-best-channel&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse47,"Ops pulse: if a channel is logged out, pick the next owned channel. Do not log proof until real posting happens.",internal-log-note
